,space_group_shell,coer_oe,exc_bias_oe,fc_field_t,h_range_max_koe,mr (emu/g),sat_em_g,shape,space_group_core,temperature_k,ver_shift_emu_g,sphericity,exc_dir,ver_s_dir,area/volume
376,0.2707423580786026,0.017985611510791366,6.638567789166521,0.02857142857142857,0.16573971078976638,0.0024197451201806728,0.006234276167382842,0.0,0.9999999999999999,0.022988505747126436,0.0,0.5943878937498528,1.0,1.0,0.03394850763271816
377,0.982532751091703,0.02093525179856116,6.2285110035911835,0.0,0.44382647385984425,0.032263268269075655,0.0480994883863041,0.8333333333333334,0.9912280701754386,0.8563218390804597,0.0,0.008835392703889701,1.0,1.0,0.18286352788761143
378,0.982532751091703,0.02787769784172662,5.940171252720432,0.0,0.44382647385984425,0.045168575576705915,0.07124236967502455,0.8333333333333334,0.9912280701754386,0.8563218390804597,0.0,0.008835392703889701,1.0,1.0,0.18286352788761143
379,0.982532751091703,0.029532374100719423,5.833347679010845,0.0,0.44382647385984425,0.016938215841264724,0.08372392362849176,0.8333333333333334,0.9912280701754386,0.8563218390804597,0.0,0.008835392703889701,1.0,1.0,0.18286352788761143
380,0.982532751091703,0.03446043165467626,5.192228808153624,0.0,0.44382647385984425,0.034279722535892884,0.11102732290170128,0.8333333333333334,0.9912280701754386,0.8563218390804597,0.0,0.008835392703889701,1.0,1.0,0.18286352788761143
381,0.982532751091703,0.021294964028776987,4.834240141426463,0.0,0.44382647385984425,0.06775286336505888,0.09906583369629521,0.8333333333333334,0.9912280701754386,0.8563218390804597,0.0,0.008835392703889701,1.0,1.0,0.18286352788761143
382,0.982532751091703,0.1533453237410072,5.194067345174237,0.07142857142857142,0.44382647385984425,0.04436199386997903,0.046019229394059565,0.8333333333333334,0.9912280701754386,0.008620689655172414,0.0,0.008835392703889701,0.0,1.0,0.18286352788761143
383,0.982532751091703,0.22715827338129496,2.9444389791664403,0.07142857142857142,0.44382647385984425,0.09033715115341183,0.07800321139981929,0.8333333333333334,0.9912280701754386,0.008620689655172414,0.0,0.008835392703889701,0.0,1.0,0.18286352788761143
384,0.982532751091703,0.44366906474820145,4.697804060407184,0.07142857142857142,0.44382647385984425,0.09074044200677528,0.08970466823119479,0.8333333333333334,0.9912280701754386,0.008620689655172414,0.0,0.008835392703889701,0.0,1.0,0.18286352788761143
385,0.982532751091703,0.45514388489208635,3.593703015365879,0.07142857142857142,0.44382647385984425,0.13187610904984676,0.12272877973307679,0.8333333333333334,0.9912280701754386,0.008620689655172414,0.0,0.008835392703889701,0.0,1.0,0.18286352788761143
386,0.982532751091703,0.28129496402877696,0.0,0.07142857142857142,0.44382647385984425,0.1351024358767543,0.10660677254318164,0.8333333333333334,0.9912280701754386,0.008620689655172414,0.0,0.008835392703889701,0.0,1.0,0.18286352788761143
387,0.982532751091703,0.1975179856115108,0.0,0.07142857142857142,0.22135706340378195,0.050608969188578795,0.0998459308183869,0.33333333333333337,0.9912280701754386,0.008620689655172414,0.0,0.47218791796506093,0.0,1.0,0.164578111946533
